noun,BNC_frequency
sainsburys,72
scarer,10
seamas,1
scotbald,1
skate,151
songbook,16
scruff,79
screaming,80
scotts,49
slash,118
stupor,92
sarny,9
semester,42
scrappiness,1
subsid,8
spode,11
simes,4
swap,222
stimulation,811
scape,12
speller,64
stanborough,2
sot,19
splodge,28
sorbet,44
sudbury,185
splch,1
sssplllcchh,1
smirking,2
shat,8
stu,139
sweetcorn,69
stourport,26
schizophrenic,80
stewy,1
snuff,103
smidgen,11
swear,35
smokey,43
snatcher,19
schneider,80
scarper,12
sounding,187
sharpener,47
slattery,29
swanney,1
slappity,1
smidge,4
shred,237
stare,465
squelching,21
scruples,4
staying,88
stalingrad,79
sampdoria,76
stiletto,64
shuffle,81
sewer,429
spambo,1
shitler,2
squaddy,29
silvers,25
stern,372
slurp,31
sesh,8
skinful,19
snap,210
silica,167
sery,2
smelly,11
splurchy,1
sesame,125
squeezey,1
sprayer,64
somervilles,2
stalker,89
squint,45
sharne,2
steriliser,22
swingtop,1
smithy,117
shwooh,1
shitty,9
solvite,2
subunit,247
sequencing,233
sb,250
substrate,413
sii,20
sonication,9
sma,36
subclone,18
subfragment,8
synthesis,1227
swissprot,2
saccharomyces,5
sag,76
starling,182
scripture,670
savio,2
segatis,1
sunlight,1211
shopfloor,83
schoo,6
stacey,181
stuntman,45
shopworker,22
shettleston,18
severin,38
snippet,118
scobie,27
snh,56
skye,287
strathclyde,697
sodden,32
stornoway,158
selena,4
stereotype,612
scotia,128
salmond,117
seiters,12
seko,34
soyo,3
sejm,167
suchocka,29
sekou,10
snp,257
scandinavia,354
segni,33
sway,235
smokescreen,52
stroma,27
standby,150
sexism,298
skeldon,5
scotston,2
subsidence,291
solarium,127
snaresbrook,16
socialite,59
sapphire,173
smythe,47
syllable,857
sarajevans,2
srna,4
stasys,4
schoolbus,5
settler,546
spreading,196
securitate,102
scepticism,637
sorinne,1
sanyi,2
scandalmonger,7
straitjacket,68
suez,304
stimulus,2339
surcharge,141
stumbling,150
saudi,911
socialism,1641
solchaga,26
scanlon,28
still,148
sidlaw,2
sclater,12
syracuse,73
stakis,41
stobhill,4
strathearn,10
sorn,11
shank,151
sanderson,193
snelling,15
silva,187
silvas,2
salonika,29
schuur,3
stup,10
surtax,12
serbian,13
submariner,13
su,76
snowdrop,111
saxophonist,46
shakey,9
seaport,51
skett,7
sellout,9
shakespears,5
smuggling,213
scotstoun,5
safeway,159
stonehaven,20
scotrail,78
signalling,258
squib,38
specialty,235
supertax,3
starving,25
sciaf,38
smta,1
srdjan,2
secession,233
semana,2
sachs,160
sylvana,3
sadako,17
strangeways,101
statuette,123
schlegels,2
shergar,6
stobswood,1
sequestration,56
sommerville,24
sullom,57
shellfish,146
scallop,141
spatfall,1
ssfa,2
skuld,1
shareholding,410
swinney,2
sapin,8
scheinman,1
sarandon,13
schtonk,1
sayles,13
sharples,16
stoddart,64
smmt,16
strangeway,2
scabbard,54
supertrawler,1
sabra,13
samh,1
shieldhall,3
secc,10
sld,21
snl,12
scottishpower,24
sptc,1
sicherman,1
submachine,15
slioch,9
schunemann,1
sloppiness,26
svendsen,3
stricture,437
sedco,3
salvaging,3
starboard,180
sandbank,52
stenhouse,49
sediment,1092
scalloway,11
spoa,4
saltcoats,23
scaup,9
somerville,255
shiver,268
sphinx,95
sakaguchi,2
sakaue,1
slann,9
strife,277
stoppage,211
subscriber,581
stirlingshire,50
southwold,61
solway,66
silage,104
scapa,56
see,92
steadman,56
stillness,352
sazan,1
smudge,96
shara,4
swathe,193
scalfaro,23
sukhumi,24
smidovitch,5
sicilian,15
srebrenica,76
senegal,190
smithereen,27
strategist,150
santiago,216
stuc,15
secretariat,440
sar,67
subcommittee,213
scorn,297
signalbox,21
smeddon,5
siddhi,15
sgreccia,4
simonis,10
